Element,Line,keV
Ac,Ka2,87.67
Ra,Ka1,88.47
Po,KB1,89.8
Th,Ka2,89.953
Ac,Ka1,90.884
Pa,Ka2,92.287
At,KB1,92.3
Th,Ka1,93.35
U,Ka2,94.665
Rn,KB1,94.87
Pa,Ka1,95.868
Fr,KB1,97.47
U,Ka1,98.439
Ra,KB1,100.13
Ac,KB1,102.85
Th,KB1,105.609
Pa,KB1,108.427
U,KB1,111.3
