energy_kev,MiningHighVoltage,MiningLowVoltage,SoilHighVoltage,SoilMidVoltage,SoilLowVoltage
6.962968,0.001421,0.104245,-0.001107,-0.000100,0.043831
6.983009,0.003089,0.069585,-0.001084,-0.000147,0.044941
7.003051,0.208948,0.037562,-0.000949,-0.000443,0.037254
7.023093,0.004861,0.060400,-0.000576,0.000170,0.064015
7.043135,0.004644,0.051697,-0.000598,-0.000261,0.044125
7.063176,0.002763,0.053815,-0.000871,-0.000382,-0.003037
7.083218,0.001746,-0.034537,-0.000671,-0.000119,0.029591
7.103260,0.003673,0.033807,-0.000720,-0.356898,0.007534
7.123301,0.002392,0.077373,-0.001179,-0.000127,-0.010243
7.143343,0.004216,0.030205,-0.000594,0.000178,-0.003717
7.163385,0.002293,0.046026,-0.001108,-0.000018,0.037514
7.183426,0.003452,0.037408,-0.000913,0.000149,0.008557
7.203468,0.002758,0.017522,-0.001140,-0.000084,-0.005107
7.223510,0.001960,0.033961,-0.000845,0.000031,0.034125
7.243551,0.002394,0.058573,-0.000435,-0.000102,0.034777
7.263593,0.000981,0.043732,-0.000734,-0.000004,-0.020673
7.283635,0.002711,0.011023,-0.001191,-0.000154,0.027398
7.303676,0.002323,0.000046,-0.000833,0.000045,0.058833
7.323718,0.001978,0.047219,-0.000653,0.000003,0.048365
7.343760,0.001808,0.015409,-0.001067,0.000056,0.032483
7.363801,0.001816,0.001532,-0.001308,0.000282,-0.013244
7.383843,0.001771,0.034234,-0.000809,0.000184,0.027057
7.403885,0.003422,0.038764,-0.000581,0.354805,0.044805
7.423927,0.001263,0.035093,0.000069,-0.000491,0.015769
7.443968,0.189206,0.079202,0.000162,0.000232,0.010906
7.464010,0.004276,-0.001889,-0.001298,0.000234,0.030396
7.484052,0.001592,0.065008,-0.000791,0.000019,0.048726
7.504093,0.187849,0.043841,-0.000965,-0.000054,0.020493
7.524135,0.001972,0.035121,-0.000532,0.000274,0.036066
7.544177,0.210142,-0.044693,-0.001629,-0.000126,0.037104
7.564218,0.001961,0.024092,-0.001006,-0.000077,-0.009727
7.584260,0.000032,-0.013496,-0.000889,-0.000150,0.022791
7.604302,0.001199,0.001530,-0.000387,0.000005,0.032630
7.624343,0.002951,0.023193,-0.000909,0.000081,0.001566
7.644385,0.002451,0.020405,-0.000648,-0.000272,0.038731
7.664427,0.206769,-0.003765,-0.001029,0.000181,0.019636
7.684468,0.002934,0.028432,-0.000716,0.000989,-0.003039
7.704510,0.185201,0.010615,-0.001034,0.000766,0.043009
7.724552,0.002883,0.028395,-0.000825,0.000572,0.002439
7.744593,0.004590,0.013870,-0.001098,0.000281,-0.014877
7.764635,0.004853,0.058948,-0.000839,0.000477,0.026404
7.784677,0.157175,0.013272,-0.000735,0.000739,0.023954
7.804719,0.142440,0.002528,-0.000734,-0.000038,0.058410
7.824760,0.141954,0.006624,-0.001891,0.000888,0.025225
7.844802,0.139824,0.025724,0.365959,0.000655,0.011684
7.864844,0.244579,-0.053509,0.368514,0.232111,0.068655
7.884885,0.218527,0.046980,0.000172,0.204439,0.067983
7.904927,0.182338,0.008651,0.000196,0.170322,0.107675
7.924969,0.163014,-0.009207,0.002103,0.139355,0.103880
7.945010,0.078690,0.024998,0.002483,0.110745,0.060789
7.965052,0.061369,0.025419,-0.001901,0.089813,0.104147
7.985094,0.040991,0.000602,-0.003995,0.002449,0.072470
8.005135,0.069302,0.021928,-0.000857,0.065861,0.113360
8.025177,0.107884,-0.043469,-0.002465,-0.000082,0.086965
8.045219,0.065728,-0.049071,0.000965,0.073514,0.060477
8.065260,0.185460,0.000155,0.002790,0.003158,0.082231
8.085302,0.105777,-0.023951,0.167315,0.009076,0.075589
8.105344,0.067757,-0.037671,-0.002247,0.084710,0.083262
8.125385,0.075563,-0.040395,0.003472,0.053288,0.022550
8.145427,0.059176,0.001336,0.282733,0.003021,-0.028384
8.165469,0.025585,-0.066284,0.001295,0.000936,0.059095
8.185511,0.009605,0.005787,-0.000532,0.000218,-0.010510
8.205552,0.006467,0.006819,-0.000326,-0.000000,0.021205
8.225594,0.152067,-0.058646,-0.001079,0.000068,0.020127
8.245636,0.003840,-0.016782,-0.000907,0.000538,0.030737
8.265677,0.005441,-0.033671,-0.001297,0.000395,0.030105
8.285719,0.004937,0.018601,-0.000899,0.000540,0.058205
8.305761,0.003577,-0.025103,-0.001127,-0.000679,0.032753
8.325802,0.006679,-0.028475,-0.000822,0.000025,-0.037600
8.345844,0.003475,-0.052904,-0.000706,0.000622,0.013807
8.365886,0.000476,-0.007781,-0.001497,0.000230,-0.057728
8.385927,0.003886,-0.005407,-0.000537,0.000124,-0.022442
8.405969,0.001098,-0.040711,-0.001056,-0.001802,0.030888
8.426011,0.014923,-0.001307,-0.000835,-0.000557,0.053996
8.446052,0.005661,-0.071099,-0.000577,0.000401,0.038018
8.466094,0.007881,0.028021,-0.000456,-0.146662,-0.022388
8.486136,-0.031593,-0.020032,-0.002352,-0.007501,0.007972
8.506177,0.056775,-0.024373,0.001390,0.001086,0.029092
8.526219,-0.002888,-0.029372,0.145359,-0.054809,0.007645
8.546261,-0.003392,-0.057781,-0.002017,0.002416,0.031840
8.566303,0.054911,-0.082900,0.001423,0.003710,0.063786
8.586344,0.057822,-0.085809,-0.004160,0.040980,0.089614
8.606386,0.004058,-0.093608,0.004831,0.055024,0.066934
8.626428,0.095175,-0.082974,0.000018,0.070957,0.048198
8.646469,0.122083,-0.043334,0.010149,0.076911,0.100328
